City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Kondopoga,RU,62.2057,34.2614,51.48,96,100,11.92,overcast clouds
327,Aitape,PG,-3.1374,142.3475,78.12,89,100,5.37,overcast clouds
328,Mekhe,SN,15.1097,-16.6218,96.26,28,2,0.96,clear sky
329,Vitim,RU,59.4511,112.5578,30.58,83,100,6.2,overcast clouds
330,San Jose,US,37.3394,-121.895,62.49,81,20,0.0,haze
331,Jadu,LY,31.953,12.0261,70.18,42,0,9.55,clear sky
332,Mmathubudukwane,BW,-24.6,26.4333,81.03,39,21,9.13,few clouds
333,Rio Gallegos,AR,-51.6226,-69.2181,50.05,32,40,40.29,scattered clouds
334,Nabire,ID,-3.3667,135.4833,75.38,92,100,3.29,overcast clouds
335,Alofi,NU,-19.0595,-169.9187,73.29,94,100,12.66,overcast clouds
336,Qaqortoq,GL,60.7167,-46.0333,30.34,84,21,6.29,few clouds
337,Denpasar,ID,-8.65,115.2167,78.46,78,20,1.14,few clouds
338,Bonavista,CA,48.6499,-53.1147,50.22,56,2,18.97,clear sky
339,Lata,PT,40.1629,-8.3327,64.08,92,100,3.04,overcast clouds
340,Lavrentiya,RU,65.5833,-171.0,22.14,77,100,13.67,overcast clouds
341,Teguldet,RU,57.3064,88.1667,27.93,91,96,7.56,overcast clouds
342,Joshimath,IN,30.5667,79.5667,52.41,45,3,6.91,clear sky
343,Muncar,ID,-8.4333,114.3333,74.12,84,58,3.85,broken clouds
344,Vysokogornyy,RU,50.1167,139.15,25.86,94,27,2.13,scattered clouds
345,Murray Bridge,AU,-35.1167,139.2667,52.12,85,98,4.18,overcast clouds
