City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Avarua,CK,2022-10-24 17:24:20,-21.2078,-159.775,77.05,83,100,14.97
178,Dabola,GN,2022-10-24 17:24:21,10.75,-11.1167,80.33,82,81,1.01
179,Humaita,BR,2022-10-24 17:24:02,-7.5061,-63.0208,96.85,40,59,1.59
180,General Roca,AR,2022-10-24 17:21:13,-39.0333,-67.5833,80.62,16,98,12.8
181,Mirnyy,RU,2022-10-24 17:25:22,62.5353,113.9611,26.24,73,100,8.99
182,Marathon,US,2022-10-24 17:25:22,44.9,-89.7668,65.44,82,75,14.97
183,Teguldet,RU,2022-10-24 17:25:22,57.3064,88.1667,31.5,72,98,14.16
184,Labuan,MY,2022-10-24 17:25:23,5.2767,115.2417,81.54,76,100,1.21
185,Abu Dhabi,AE,2022-10-24 17:24:15,24.4667,54.3667,86.02,69,0,8.05
186,Lanzhou,CN,2022-10-24 17:25:01,36.0564,103.7922,57.51,70,98,3.65
187,Sungaipenuh,ID,2022-10-24 17:25:24,-2.0833,101.3833,66.16,96,100,0.78
188,Bunda,TZ,2022-10-24 17:25:27,-2.05,33.8667,74.01,65,28,7.65
189,Maniitsoq,GL,2022-10-24 17:25:27,65.4167,-52.9,34.52,83,99,2.8
190,Ancud,CL,2022-10-24 17:25:28,-41.8697,-73.8203,52.36,96,99,14.47
191,Tessalit,ML,2022-10-24 17:25:28,20.1986,1.0114,87.66,11,39,8.57
192,Salalah,OM,2022-10-24 17:25:30,17.0151,54.0924,82.49,69,20,3.44
193,Hasaki,JP,2022-10-24 17:25:30,35.7333,140.8333,54.21,66,100,22.44
194,Launceston,AU,2022-10-24 17:20:35,-41.45,147.1667,60.33,89,100,13.8
195,Kasempa,ZM,2022-10-24 17:25:31,-13.4584,25.8338,75.42,43,64,10.02
196,Xichang,CN,2022-10-24 17:25:31,27.8964,102.2634,62.4,96,100,1.39
197,Dingle,PH,2022-10-24 17:25:31,10.9995,122.6711,76.44,91,95,4.23
198,Rawson,AR,2022-10-24 17:20:58,-43.3002,-65.1023,72.48,28,54,14.97
199,Tiksi,RU,2022-10-24 17:25:32,71.6872,128.8694,17.04,89,100,7.81
200,Asau,RO,2022-10-24 17:25:33,46.4333,26.4,60.28,78,59,6.02
201,Mukdahan,TH,2022-10-24 17:25:33,16.5833,104.5,71.44,77,9,6.71
202,Belmonte,BR,2022-10-24 17:25:34,-15.8631,-38.8828,77.94,77,98,5.59
203,Kodiak,US,2022-10-24 17:25:34,57.79,-152.4072,45.91,66,40,18.41
204,Imbituba,BR,2022-10-24 17:25:35,-28.24,-48.6703,68.18,71,70,9.91
205,Nanortalik,GL,2022-10-24 17:25:35,60.1432,-45.2371,34.56,85,54,14.0
206,Gorom-Gorom,BF,2022-10-24 17:25:35,14.4439,-0.2361,96.1,12,19,11.3
207,Mar Del Plata,AR,2022-10-24 17:25:36,-38.0023,-57.5575,68.02,85,0,21.0
208,Saint-Philippe,RE,2022-10-24 17:25:36,-21.3585,55.7679,72.99,84,63,10.83
209,Castro,BR,2022-10-24 17:23:10,-24.7911,-50.0119,76.78,47,29,6.62
210,Hambantota,LK,2022-10-24 17:25:36,6.1241,81.1185,79.09,81,70,14.56
211,Luanda,AO,2022-10-24 17:25:37,-8.8368,13.2343,78.8,83,75,9.22
212,Saint-Francois,FR,2022-10-24 17:25:37,46.4154,3.9054,65.64,59,0,4.61
213,Nizwa,OM,2022-10-24 17:25:37,22.9333,57.5333,80.46,27,0,2.89
214,Ardmore,US,2022-10-24 17:22:22,34.1743,-97.1436,57.45,94,100,16.11
215,Brawley,US,2022-10-24 17:22:01,32.9787,-115.5303,71.85,16,0,9.22
216,Geraldton,AU,2022-10-24 17:25:38,-28.7667,114.6,63.18,62,24,17.29
217,Conde,BR,2022-10-24 17:25:38,-7.2597,-34.9075,82.9,61,56,14.41
218,Thompson,CA,2022-10-24 17:25:39,55.7435,-97.8558,28.56,93,100,18.41
219,Bolgatanga,GH,2022-10-24 17:25:39,10.7856,-0.8514,91.72,29,33,5.61
220,Codrington,AU,2022-10-24 17:25:39,-38.2667,141.9667,56.89,98,100,5.19
221,Kalmunai,LK,2022-10-24 17:25:40,7.4167,81.8167,80.02,79,99,4.99
222,Padre Paraiso,BR,2022-10-24 17:25:40,-17.0742,-41.4844,73.92,76,100,4.36
223,Maceio,BR,2022-10-24 17:24:26,-9.6658,-35.7353,81.34,71,62,14.0
224,Bonavista,CA,2022-10-24 17:25:40,48.6499,-53.1147,52.02,68,100,10.49
225,Saint-Louis,SN,2022-10-24 17:25:41,16.3333,-15.0,97.16,28,89,7.05
226,Ketou,BJ,2022-10-24 17:25:41,7.3633,2.5998,84.9,69,84,3.09
227,Bo Rai,TH,2022-10-24 17:25:41,12.5728,102.5371,83.73,78,95,2.55
228,Dakar,SN,2022-10-24 17:21:33,14.6937,-17.4441,85.08,75,100,6.82
229,Kalabo,ZM,2022-10-24 17:25:42,-14.97,22.6814,79.23,41,75,7.87
230,Batagay,RU,2022-10-24 17:26:42,67.6333,134.6333,10.31,94,100,6.98
231,Maltahohe,NA,2022-10-24 17:26:43,-24.8333,16.9833,83.95,9,28,24.79
232,Shingu,JP,2022-10-24 17:26:43,33.7333,135.9833,52.29,81,29,6.42
233,Kearney,US,2022-10-24 17:23:11,40.6995,-99.0815,48.76,44,0,16.11
234,Davila,PH,2022-10-24 17:26:44,18.4726,120.5763,79.45,85,95,28.92
235,Zaysan,KZ,2022-10-24 17:26:44,47.4667,84.8667,31.75,65,13,3.27
236,Krasne,UA,2022-10-24 17:26:45,49.9145,24.6134,55.9,83,100,6.08
237,Orlik,RU,2022-10-24 17:26:45,52.5178,99.825,17.38,75,44,4.07
238,Oussouye,SN,2022-10-24 17:26:47,12.485,-16.5469,82.96,69,100,6.26
239,Klaksvik,FO,2022-10-24 17:26:47,62.2266,-6.589,52.72,98,100,15.84
240,Los Llanos De Aridane,ES,2022-10-24 17:26:48,28.6585,-17.9182,71.35,79,20,3.0
241,Victor Harbor,AU,2022-10-24 17:26:48,-35.5667,138.6167,57.0,93,100,7.83
242,Khasan,RU,2022-10-24 17:26:48,42.4308,130.6434,39.72,56,1,6.2
243,Chibombo,ZM,2022-10-24 17:26:49,-14.6569,28.0706,83.01,22,88,5.64
244,Aksarka,RU,2022-10-24 17:26:49,66.5606,67.7975,24.39,96,78,3.2
245,Mikhaylovka,RU,2022-10-24 17:26:49,50.06,43.2379,49.78,87,100,14.65
246,Mehamn,NO,2022-10-24 17:26:50,71.0357,27.8492,33.75,75,75,9.22
247,Norman Wells,CA,2022-10-24 17:22:54,65.282,-126.8329,15.73,92,94,4.61
248,Yarkovo,RU,2022-10-24 17:26:50,57.4028,67.0786,36.01,50,98,14.52
249,Te Anau,NZ,2022-10-24 17:25:06,-45.4167,167.7167,31.89,95,15,1.54
250,Tashtagol,RU,2022-10-24 17:26:51,52.7657,87.8894,26.35,85,11,2.19
251,Illela,NG,2022-10-24 17:26:51,13.7292,5.2975,93.72,19,2,11.27
252,Alta Floresta,BR,2022-10-24 17:26:51,-9.8756,-56.0861,91.96,46,52,1.21
253,Deolali,IN,2022-10-24 17:26:52,19.95,73.8333,67.32,60,0,2.37
254,Pisco,PE,2022-10-24 17:26:52,-13.7,-76.2167,67.01,77,0,9.22
255,Solano,US,2022-10-24 17:26:52,38.2333,-121.9511,68.11,29,0,6.91
256,Cam Ranh,VN,2022-10-24 17:26:53,11.9214,109.1591,80.56,83,40,4.61
257,Kulhudhuffushi,MV,2022-10-24 17:26:53,6.6221,73.07,81.01,83,100,14.14
258,Kjollefjord,NO,2022-10-24 17:26:54,70.9457,27.3465,33.85,75,75,9.22
259,Kahna Nau,PK,2022-10-24 17:26:54,31.3692,74.3653,72.1,28,0,3.49
260,Grand Gaube,MU,2022-10-24 17:26:57,-20.0064,57.6608,73.38,69,10,1.01
261,Serafimovich,RU,2022-10-24 17:26:57,49.5786,42.736,49.62,85,100,13.98
262,Lixourion,GR,2022-10-24 17:26:58,38.2019,20.4314,73.4,53,0,5.75
263,Ixtapa,MX,2022-10-24 17:26:58,20.7,-105.2,85.23,72,55,3.0
264,Trincomalee,LK,2022-10-24 17:26:59,8.5711,81.2335,78.73,83,92,10.54
265,San Carlos De Bariloche,AR,2022-10-24 17:26:51,-41.1456,-71.3082,58.75,36,20,24.16
266,Warrington,GB,2022-10-24 17:25:16,53.3925,-2.5802,58.32,84,40,13.8
267,Margate,GB,2022-10-24 17:26:59,51.3813,1.3862,59.31,85,41,3.0
268,Pitimbu,BR,2022-10-24 17:24:15,-7.4706,-34.8086,81.81,69,46,13.09
269,Yidu,CN,2022-10-24 17:27:00,24.1614,115.1328,65.48,63,75,1.57
270,Cikampek,ID,2022-10-24 17:27:00,-6.4197,107.4558,78.73,83,100,2.86
271,Huoqiu,CN,2022-10-24 17:27:01,32.3394,116.2694,63.28,36,100,7.81
272,Punta De Bombon,PE,2022-10-24 17:28:01,-17.1717,-71.7931,64.8,71,73,8.55
273,Boueni,YT,2022-10-24 17:28:02,-12.9025,45.0761,78.78,74,68,5.68
274,Cajamarca,PE,2022-10-24 17:28:03,-7.1638,-78.5003,66.27,55,75,4.61
275,Bowen,AU,2022-10-24 17:28:03,-20.0167,148.2333,78.55,89,7,12.77
276,Am Timan,TD,2022-10-24 17:28:04,11.0297,20.2827,82.33,30,21,3.47
277,Bay Roberts,CA,2022-10-24 17:28:04,47.5999,-53.2648,60.06,61,100,4.0
278,Tandil,AR,2022-10-24 17:28:06,-37.3217,-59.1332,73.69,32,94,11.61
279,Samarai,PG,2022-10-24 17:26:23,-10.6167,150.6667,80.96,74,20,6.87
280,Bom Sucesso,BR,2022-10-24 17:28:06,-21.0331,-44.7581,83.5,38,87,2.3
281,Bukoba,TZ,2022-10-24 17:28:07,-1.3317,31.8122,71.46,63,6,3.85
282,Yar-Sale,RU,2022-10-24 17:28:07,66.8333,70.8333,24.06,98,54,3.71
283,Camacha,PT,2022-10-24 17:28:08,33.0833,-16.3333,69.22,64,20,16.11
284,Leningradskiy,RU,2022-10-24 17:28:09,69.3833,178.4167,7.57,94,89,6.11
285,Rivadavia,AR,2022-10-24 17:28:10,-33.1905,-68.4608,82.09,27,0,10.87
286,Airai,TL,2022-10-24 17:28:12,-8.9266,125.4092,62.69,91,100,1.39
287,Matagami,CA,2022-10-24 17:28:12,49.7502,-77.6328,62.64,56,14,10.36
288,Ponta Do Sol,PT,2022-10-24 17:28:13,32.6667,-17.1,75.83,79,100,10.42
289,Osakarovka,KZ,2022-10-24 17:28:13,50.565,72.5692,30.65,45,0,5.93
290,Porto Novo,BJ,2022-10-24 17:28:14,6.4965,2.6036,81.79,77,84,6.82
291,Mao,ES,2022-10-24 17:28:16,39.8885,4.2658,73.96,83,0,6.91
292,Torbay,CA,2022-10-24 17:28:16,47.6666,-52.7314,59.29,68,100,13.0
293,Cabrobo,BR,2022-10-24 17:28:17,-8.5142,-39.31,96.91,27,38,10.49
