City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
360,Cotonou,BJ,87.78,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
361,Agudos,BR,91.65,clear sky,-22.4692,-48.9875,ARCA HOTEL
362,Manzil Salim,TN,75.83,clear sky,35.8567,8.4765,mohamed ben khlil omri
363,Ukiah,US,58.05,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
366,Kutum,SD,81.82,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
367,Maldonado,UY,74.59,overcast clouds,-34.6667,-54.9167,La Cimarrona
368,Moville,US,55.6,clear sky,42.4889,-96.0725,EastSide Acres Mobile Home Park
369,Margate,GB,68.88,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
371,Itoman,JP,77.02,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
372,Narasannapeta,IN,73.29,scattered clouds,18.4167,84.05,AVK events and catering
374,Shache,CN,57.7,clear sky,38.4167,77.2406,Delong Hotel
377,Bowen,AU,76.87,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
378,Tapes,BR,85.32,clear sky,-30.6733,-51.3958,Cabanas Camping Union
379,Shenjiamen,CN,66.79,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
382,Ler,SS,81.61,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
383,Garowe,SO,84.78,few clouds,8.4054,48.4845,Curubo Hotel
384,Torbay,CA,52.57,few clouds,47.6666,-52.7314,Gallows Cove
385,Praia Da Vitoria,PT,68.25,few clouds,38.7333,-27.0667,Hotel Branco I
386,Antsohihy,MG,79.0,broken clouds,-14.8796,47.9875,Hotel de Ville
388,Hangu,CN,53.64,overcast clouds,39.2489,117.7892,Chongli Xuexiang Family Express Inn
389,Avera,US,62.11,overcast clouds,33.194,-82.5271,
390,Wajima,JP,55.35,broken clouds,37.4,136.9,Wajiima Onsen Yashio
391,Olavarria,AR,70.02,scattered clouds,-36.8927,-60.3225,Hotel Santa Rosa
392,Santa Rosa,PH,76.1,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
393,Plettenberg Bay,ZA,67.55,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
394,Villa Carlos Paz,AR,86.4,clear sky,-31.4241,-64.4978,Monte Carlo vcp
398,Noumea,NC,77.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
399,Camopi,GF,81.23,moderate rain,3.1655,-52.3158,La pousada
401,Opaka,BG,57.45,clear sky,43.45,26.1667,
403,Ternate,ID,81.64,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
404,Cabo Rojo,PR,88.79,overcast clouds,18.0866,-67.1457,Hotel Perichi's
405,Tevaitoa,PF,79.63,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
406,Constantine,DZ,81.81,clear sky,36.365,6.6147,Grand Hotel Cirta
408,Yanam,IN,74.17,broken clouds,16.7333,82.2167,The Regency Hotel
409,Douala,CM,77.92,overcast clouds,4.0483,9.7043,Hôtel Prince De Galles Douala
410,Bogande,BF,94.01,clear sky,12.9714,-0.1436,Auberge Wendkouni
411,Vao,NC,74.98,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
412,Hollins,US,55.96,overcast clouds,37.3413,-79.9431,"Country Inn & Suites by Radisson, Roanoke, VA"
414,Half Moon Bay,US,58.98,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
415,Dali,CN,55.44,clear sky,25.7,100.1833,Dali Travelling With Hostel
420,Caravelas,BR,84.11,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
421,Nova Ushytsya,UA,57.16,overcast clouds,48.8372,27.2743,Khvylya
422,Rocha,UY,84.36,broken clouds,-34.4833,-54.3333,Hotel Arrarte
423,Tual,ID,83.82,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
424,Teknaf,BD,76.77,clear sky,20.8624,92.3058,Forestry Guesthouse
425,Tutoia,BR,87.46,overcast clouds,-2.7619,-42.2744,Pousada Guará's
426,Huaihua,CN,58.06,overcast clouds,27.5494,109.9592,怀化天庆大酒店
427,Trelew,AR,59.27,clear sky,-43.249,-65.3051,Hotel Touring Club
428,Banda Aceh,ID,79.45,heavy intensity rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
429,Salta,AR,94.57,clear sky,-24.7859,-65.4117,Hotel Alejandro I
430,Jardim,BR,94.1,light rain,-21.4803,-56.1381,Estancia Hotel - Jardim MS
431,Cayenne,GF,77.04,light rain,4.9333,-52.3333,Hôtel Le Dronmi
432,Ibra,OM,75.87,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
433,Katherine,AU,86.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
434,Houma,US,78.01,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
436,Micheweni,TZ,78.04,broken clouds,-4.9667,39.8333,
438,Vila,PT,54.48,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
439,Airai,TL,62.29,overcast clouds,-8.9266,125.4092,
440,Zhuhai,CN,76.86,few clouds,22.2769,113.5678,珠海粤财假日酒店
441,Mpika,ZM,77.67,scattered clouds,-11.8343,31.4529,Melodies Lodge
443,Taltal,CL,63.72,few clouds,-25.4,-70.4833,Residencial Karime
444,Buala,SB,80.22,light rain,-8.145,159.5921,Maringe Lagoon Lodge
